discovered_ts_ms,condition_id,market_slug,coin,timeframe,question,token_id_up,token_id_down,end_date,end_ts_ms
1773171905350,0xd6bc1439c420710f446111ea250de5cff6e288f4d519af755b12462448994baa,sol-updown-5m-1773184500,SOL,5m,"Solana Up or Down - March 10, 7:15PM-7:20PM ET",90121127386919217686516658271886593263203373047422649010165049079769884037024,19565133273715191769879991671451469981046777965982559709245094553624969677802,2026-03-10T23:20:00Z,1773184800000
1773171905350,0x4abfcdb71bf7190de9ad36b38903656d96d8821cd5b0b13c7a5a7e365818fd2d,sol-updown-5m-1773184800,SOL,5m,"Solana Up or Down - March 10, 7:20PM-7:25PM ET",63705961538966403426708685165262391548134725759061416221049406421793412937071,27699705446265843273910252995050896169653251625096443342443503583363968387622,2026-03-10T23:25:00Z,1773185100000
1773171905350,0xa047a3f7ab13cacc84bffdcfed1900f8f73cd5872f1394f3ea609bac49b06ecd,sol-updown-5m-1773185100,SOL,5m,"Solana Up or Down - March 10, 7:25PM-7:30PM ET",56546361121343450683573933614669446250478515981983912485693405924149908088556,24165230988816503524954359337807793417106880573398462955533754799208182722100,2026-03-10T23:30:00Z,1773185400000
1773171905350,0x25a25ceade4f78a973e48e65667ea0e94d52be5da68610419d7cb4083be52713,sol-updown-15m-1773185400,SOL,15m,"Solana Up or Down - March 10, 7:30PM-7:45PM ET",73167057951942804064869860020274915553466733021017983248973051164469837042303,103593239776067711620461767415172593037672785243656464408092605246799661135270,2026-03-10T23:45:00Z,1773186300000
1773171905350,0x24918090be4a877c963f595ba9e0308ad16e81fc48e16a53693144d15d138618,sol-updown-5m-1773185400,SOL,5m,"Solana Up or Down - March 10, 7:30PM-7:35PM ET",61809684378153330728257374041630015221508260416378276206939909161489469504175,86384109171525657483552634911657934536649546355399616624571393616653121580652,2026-03-10T23:35:00Z,1773185700000
1773171905350,0x84a63389ff7aa50b8346e3c93563e22979242615eeef32bbfcf74319c662c109,sol-updown-5m-1773185700,SOL,5m,"Solana Up or Down - March 10, 7:35PM-7:40PM ET",44213926163890107222219824023849838671833947013560968441419027949319136128362,29291286298700410769192665599360213917806176931647428634464156706189191927696,2026-03-10T23:40:00Z,1773186000000
1773171905350,0x892d8572247fb4d904377168b4ab437550856b6d6215a347e5d786d3723f3f1d,sol-updown-5m-1773186000,SOL,5m,"Solana Up or Down - March 10, 7:40PM-7:45PM ET",101812812618311049759824031816606131608532407038694261368296907045722340006115,76070081959584366231055015448588524638193881624345714820855566224730767634362,2026-03-10T23:45:00Z,1773186300000
1773171905350,0x4f42047c10eb5df3f1d4ddc435c7f2c48519d395908dafeb5a56c7cfa2915f59,sol-updown-15m-1773186300,SOL,15m,"Solana Up or Down - March 10, 7:45PM-8:00PM ET",18098470250125155949013219833496489036227107226297713976011360404919478656836,46600670020129450412297115078908211321201420294612840854680623798410831190552,2026-03-11T00:00:00Z,1773187200000
1773171905350,0x5e91bfe0192a3215f9f44c6f42c731f997abaf179b274227dc57e5ec2ef40e1d,sol-updown-5m-1773186300,SOL,5m,"Solana Up or Down - March 10, 7:45PM-7:50PM ET",10246882021262560502926884612141347212915845773933981514881383449199161573197,37028894789298854720851336798874431563710964170786911994090122502551784017085,2026-03-10T23:50:00Z,1773186600000
1773171905350,0x7744417ed0e5df73a35be7a963d34089440c5a955cc6dcdb879a98a24cc3db7d,sol-updown-5m-1773186600,SOL,5m,"Solana Up or Down - March 10, 7:50PM-7:55PM ET",20973821840213641540996578258592478037747420937960008897346813398857315428700,102667129546190623969133974528425437830017933116620616260398929352128814244190,2026-03-10T23:55:00Z,1773186900000
1773171905350,0xc18d5735970e29634b9d458d96eff22fbf355ff477cbfac858dd7e79da9ea879,sol-updown-5m-1773186900,SOL,5m,"Solana Up or Down - March 10, 7:55PM-8:00PM ET",13061402276481558176453308347768608907445163027715801834244781166227940392456,36935650779404970404784592220064393908621808564603177758054004953981436577215,2026-03-11T00:00:00Z,1773187200000
1773171905350,0xe81fdb0fe28aecea5f9ab3bc98efe3f7e9a4f8683b83ade91a8b35b0e349cb59,sol-updown-5m-1773187200,SOL,5m,"Solana Up or Down - March 10, 8:00PM-8:05PM ET",60367794043923294124481176953713254090620442164914266645032053750654233335350,113364085644508087797511914612127929565787327301687760555449044046175782366786,2026-03-11T00:05:00Z,1773187500000
